BTC, ETC
2016-10-11-06-00, 0.001816
2016-10-11-07-00, 0.001818
2016-10-11-08-00, 0.001806
2016-10-11-09-00, 0.001801
2016-10-11-10-00, 0.001793
2016-10-11-11-00, 0.001797
2016-10-11-12-00, 0.001800
2016-10-11-13-00, 0.001783
2016-10-11-14-00, 0.001778
2016-10-11-15-00, 0.001772
2016-10-11-16-00, 0.001773
2016-10-11-17-00, 0.001775
2016-10-11-18-00, 0.001758
2016-10-11-19-00, 0.001762
2016-10-11-20-00, 0.001741
2016-10-11-21-00, 0.001754
2016-10-11-22-00, 0.001735
2016-10-11-23-00, 0.001711
2016-10-12-00-00, 0.001709
2016-10-12-01-00, 0.001699
2016-10-12-02-00, 0.001636
2016-10-12-03-00, 0.001582
2016-10-12-04-00, 0.001606
2016-10-12-05-00, 0.001635
2016-10-12-06-00, 0.001639
2016-10-12-07-00, 0.001626
2016-10-12-08-00, 0.001621
2016-10-12-09-00, 0.001630
2016-10-12-10-00, 0.001600
2016-10-12-11-00, 0.001594
2016-10-12-12-00, 0.001605
2016-10-12-13-00, 0.001599
2016-10-12-14-00, 0.001604
2016-10-12-15-00, 0.001612
2016-10-12-16-00, 0.001600
2016-10-12-17-00, 0.001590
2016-10-12-18-00, 0.001585
2016-10-12-19-00, 0.001582
2016-10-12-20-00, 0.001581
2016-10-12-21-00, 0.001601
2016-10-12-22-00, 0.001628
2016-10-12-23-00, 0.001622
2016-10-13-00-00, 0.001626
2016-10-13-01-00, 0.001617
2016-10-13-02-00, 0.001633
2016-10-13-03-00, 0.001628
2016-10-13-04-00, 0.001625
2016-10-13-05-00, 0.001636
2016-10-13-06-00, 0.001634
2016-10-13-07-00, 0.001633
2016-10-13-08-00, 0.001637
2016-10-13-09-00, 0.001622
2016-10-13-10-00, 0.001626
2016-10-13-11-00, 0.001613
2016-10-13-12-00, 0.001606
2016-10-13-13-00, 0.001597
2016-10-13-14-00, 0.001585
2016-10-13-15-00, 0.001585
2016-10-13-16-00, 0.001581
2016-10-13-17-00, 0.001553
2016-10-13-18-00, 0.001561
2016-10-13-19-00, 0.001565
2016-10-13-20-00, 0.001554
2016-10-13-21-00, 0.001571
2016-10-13-22-00, 0.001576
2016-10-13-23-00, 0.001591
2016-10-14-00-00, 0.001584
2016-10-14-01-00, 0.001582
2016-10-14-02-00, 0.001582
2016-10-14-03-00, 0.001573
2016-10-14-04-00, 0.001569
2016-10-14-05-00, 0.001555
2016-10-14-06-00, 0.001556
2016-10-14-07-00, 0.001556
2016-10-14-08-00, 0.001558
2016-10-14-09-00, 0.001558
2016-10-14-10-00, 0.001558
2016-10-14-11-00, 0.001554
2016-10-14-12-00, 0.001540
2016-10-14-13-00, 0.001550
2016-10-14-14-00, 0.001550
2016-10-14-15-00, 0.001546
2016-10-14-16-00, 0.001551
2016-10-14-17-00, 0.001546
2016-10-14-18-00, 0.001546
2016-10-14-19-00, 0.001550
2016-10-14-20-00, 0.001546
2016-10-14-21-00, 0.001546
2016-10-14-22-00, 0.001546
2016-10-14-23-00, 0.001550
2016-10-15-00-00, 0.001546
2016-10-15-01-00, 0.001546
2016-10-15-02-00, 0.001558
2016-10-15-03-00, 0.001554
2016-10-15-04-00, 0.001550
2016-10-15-05-00, 0.001560
2016-10-15-06-00, 0.001546
2016-10-15-07-00, 0.001546
2016-10-15-08-00, 0.001556
2016-10-15-09-00, 0.001551
2016-10-15-10-00, 0.001545
2016-10-15-11-00, 0.001545
2016-10-15-12-00, 0.001545
2016-10-15-13-00, 0.001545
2016-10-15-14-00, 0.001545
2016-10-15-15-00, 0.001544
2016-10-15-16-00, 0.001550
2016-10-15-17-00, 0.001556
2016-10-15-18-00, 0.001545
2016-10-15-19-00, 0.001546
2016-10-15-20-00, 0.001546
2016-10-15-21-00, 0.001546
2016-10-15-22-00, 0.001552
2016-10-15-23-00, 0.001559
2016-10-16-00-00, 0.001559
2016-10-16-01-00, 0.001551
2016-10-16-02-00, 0.001550
2016-10-16-03-00, 0.001551
2016-10-16-04-00, 0.001555
2016-10-16-05-00, 0.001553
2016-10-16-06-00, 0.001550
2016-10-16-07-00, 0.001550
2016-10-16-08-00, 0.001550
2016-10-16-09-00, 0.001558
2016-10-16-10-00, 0.001579
2016-10-16-11-00, 0.001550
2016-10-16-12-00, 0.001552
2016-10-16-13-00, 0.001547
2016-10-16-14-00, 0.001547
2016-10-16-15-00, 0.001546
2016-10-16-16-00, 0.001550
2016-10-16-17-00, 0.001570
2016-10-16-18-00, 0.001590
2016-10-16-19-00, 0.001582
2016-10-16-20-00, 0.001584
2016-10-16-21-00, 0.001620
2016-10-16-22-00, 0.001630
2016-10-16-23-00, 0.001756
2016-10-17-00-00, 0.001876
2016-10-17-01-00, 0.001776
2016-10-17-02-00, 0.001781
2016-10-17-03-00, 0.001704
2016-10-17-04-00, 0.001690
2016-10-17-05-00, 0.001708
2016-10-17-06-00, 0.001729
2016-10-17-07-00, 0.001726
2016-10-17-08-00, 0.001766
2016-10-17-09-00, 0.001747
2016-10-17-10-00, 0.001742
2016-10-17-11-00, 0.001686
2016-10-17-12-00, 0.001717
2016-10-17-13-00, 0.001681
2016-10-17-14-00, 0.001671
2016-10-17-15-00, 0.001668
2016-10-17-16-00, 0.001671
2016-10-17-17-00, 0.001710
2016-10-17-18-00, 0.001687
2016-10-17-19-00, 0.001676
2016-10-17-20-00, 0.001700
2016-10-17-21-00, 0.001719
2016-10-17-22-00, 0.001678
2016-10-17-23-00, 0.001685
2016-10-18-00-00, 0.001673
2016-10-18-01-00, 0.001675
2016-10-18-02-00, 0.001655
2016-10-18-03-00, 0.001656
2016-10-18-04-00, 0.001651
2016-10-18-05-00, 0.001651
2016-10-18-06-00, 0.001652
2016-10-18-07-00, 0.001649
2016-10-18-08-00, 0.001646
2016-10-18-09-00, 0.001640
2016-10-18-10-00, 0.001630
2016-10-18-11-00, 0.001627
2016-10-18-12-00, 0.001629
2016-10-18-13-00, 0.001630
2016-10-18-14-00, 0.001614
2016-10-18-15-00, 0.001606
2016-10-18-16-00, 0.001596
2016-10-18-17-00, 0.001605
2016-10-18-18-00, 0.001605
2016-10-18-19-00, 0.001600
2016-10-18-20-00, 0.001625
2016-10-18-21-00, 0.001623
2016-10-18-22-00, 0.001630
2016-10-18-23-00, 0.001636
2016-10-19-00-00, 0.001656
2016-10-19-01-00, 0.001648
2016-10-19-02-00, 0.001649
2016-10-19-03-00, 0.001642
2016-10-19-04-00, 0.001670
2016-10-19-05-00, 0.001653
2016-10-19-06-00, 0.001669
2016-10-19-07-00, 0.001660
2016-10-19-08-00, 0.001664
2016-10-19-09-00, 0.001658
2016-10-19-10-00, 0.001695
2016-10-19-11-00, 0.001675
2016-10-19-12-00, 0.001687
2016-10-19-13-00, 0.001663
2016-10-19-14-00, 0.001644
2016-10-19-15-00, 0.001655
2016-10-19-16-00, 0.001655
2016-10-19-17-00, 0.001653
2016-10-19-18-00, 0.001660
2016-10-19-19-00, 0.001660
2016-10-19-20-00, 0.001663
2016-10-19-21-00, 0.001674
2016-10-19-22-00, 0.001665
2016-10-19-23-00, 0.001660
2016-10-20-00-00, 0.001671
2016-10-20-01-00, 0.001662
2016-10-20-02-00, 0.001673
2016-10-20-03-00, 0.001674
2016-10-20-04-00, 0.001680
2016-10-20-05-00, 0.001676
2016-10-20-06-00, 0.001676
2016-10-20-07-00, 0.001676
2016-10-20-08-00, 0.001660
2016-10-20-09-00, 0.001660
2016-10-20-10-00, 0.001660
2016-10-20-11-00, 0.001659
2016-10-20-12-00, 0.001655
2016-10-20-13-00, 0.001650
2016-10-20-14-00, 0.001649
2016-10-20-15-00, 0.001666
2016-10-20-16-00, 0.001648
2016-10-20-17-00, 0.001655
2016-10-20-18-00, 0.001670
2016-10-20-19-00, 0.001651
2016-10-20-20-00, 0.001649
2016-10-20-21-00, 0.001639
2016-10-20-22-00, 0.001650
2016-10-20-23-00, 0.001650
2016-10-21-00-00, 0.001654
2016-10-21-01-00, 0.001660
2016-10-21-02-00, 0.001652
2016-10-21-03-00, 0.001677
2016-10-21-04-00, 0.001677
2016-10-21-05-00, 0.001671
2016-10-21-06-00, 0.001660
2016-10-21-07-00, 0.001656
2016-10-21-08-00, 0.001646
2016-10-21-09-00, 0.001640
2016-10-21-10-00, 0.001640
2016-10-21-11-00, 0.001631
2016-10-21-12-00, 0.001635
2016-10-21-13-00, 0.001630
2016-10-21-14-00, 0.001625
2016-10-21-15-00, 0.001625
2016-10-21-16-00, 0.001642
2016-10-21-17-00, 0.001644
2016-10-21-18-00, 0.001623
2016-10-21-19-00, 0.001630
2016-10-21-20-00, 0.001628
2016-10-21-21-00, 0.001623
2016-10-21-22-00, 0.001626
2016-10-21-23-00, 0.001624
2016-10-22-00-00, 0.001632
2016-10-22-01-00, 0.001624
2016-10-22-02-00, 0.001630
2016-10-22-03-00, 0.001627
2016-10-22-04-00, 0.001629
2016-10-22-05-00, 0.001629
2016-10-22-06-00, 0.001623
2016-10-22-07-00, 0.001630
2016-10-22-08-00, 0.001623
2016-10-22-09-00, 0.001628
2016-10-22-10-00, 0.001620
2016-10-22-11-00, 0.001620
2016-10-22-12-00, 0.001620
2016-10-22-13-00, 0.001621
2016-10-22-14-00, 0.001621
2016-10-22-15-00, 0.001610
2016-10-22-16-00, 0.001596
2016-10-22-17-00, 0.001596
2016-10-22-18-00, 0.001596
2016-10-22-19-00, 0.001595
2016-10-22-20-00, 0.001590
2016-10-22-21-00, 0.001589
2016-10-22-22-00, 0.001593
2016-10-22-23-00, 0.001600
2016-10-23-00-00, 0.001592
2016-10-23-01-00, 0.001583
2016-10-23-02-00, 0.001572
2016-10-23-03-00, 0.001564
2016-10-23-04-00, 0.001576
2016-10-23-05-00, 0.001576
2016-10-23-06-00, 0.001580
2016-10-23-07-00, 0.001570
2016-10-23-08-00, 0.001570
2016-10-23-09-00, 0.001564
2016-10-23-10-00, 0.001570
2016-10-23-11-00, 0.001571
2016-10-23-12-00, 0.001575
2016-10-23-13-00, 0.001583
2016-10-23-14-00, 0.001587
2016-10-23-15-00, 0.001583
2016-10-23-16-00, 0.001597
2016-10-23-17-00, 0.001606
2016-10-23-18-00, 0.001598
2016-10-23-19-00, 0.001597
2016-10-23-20-00, 0.001597
2016-10-23-21-00, 0.001590
2016-10-23-22-00, 0.001590
2016-10-23-23-00, 0.001590
2016-10-24-00-00, 0.001590
2016-10-24-01-00, 0.001607
2016-10-24-02-00, 0.001605
2016-10-24-03-00, 0.001590
2016-10-24-04-00, 0.001592
2016-10-24-05-00, 0.001590
2016-10-24-06-00, 0.001590
2016-10-24-07-00, 0.001590
2016-10-24-08-00, 0.001590
2016-10-24-09-00, 0.001590
2016-10-24-10-00, 0.001595
2016-10-24-11-00, 0.001591
2016-10-24-12-00, 0.001595
2016-10-24-13-00, 0.001590
2016-10-24-14-00, 0.001585
2016-10-24-15-00, 0.001574
2016-10-24-16-00, 0.001571
2016-10-24-17-00, 0.001570
2016-10-24-18-00, 0.001570
2016-10-24-19-00, 0.001570
2016-10-24-20-00, 0.001575
2016-10-24-21-00, 0.001570
2016-10-24-22-00, 0.001570
2016-10-24-23-00, 0.001574
2016-10-25-00-00, 0.001575
2016-10-25-01-00, 0.001584
2016-10-25-02-00, 0.001575
2016-10-25-03-00, 0.001578
2016-10-25-04-00, 0.001578
2016-10-25-05-00, 0.001555
2016-10-25-06-00, 0.001540
2016-10-25-07-00, 0.001547
2016-10-25-08-00, 0.001542
2016-10-25-09-00, 0.001545
2016-10-25-10-00, 0.001546
2016-10-25-11-00, 0.001537
2016-10-25-12-00, 0.001540
2016-10-25-13-00, 0.001535
2016-10-25-14-00, 0.001530
2016-10-25-15-00, 0.001532
2016-10-25-16-00, 0.001530
2016-10-25-17-00, 0.001544
2016-10-25-18-00, 0.001566
2016-10-25-19-00, 0.001550
2016-10-25-20-00, 0.001561
2016-10-25-21-00, 0.001553
2016-10-25-22-00, 0.001552
2016-10-25-23-00, 0.001550
2016-10-26-00-00, 0.001550
2016-10-26-01-00, 0.001550
2016-10-26-02-00, 0.001540
2016-10-26-03-00, 0.001535
2016-10-26-04-00, 0.001539
2016-10-26-05-00, 0.001534
2016-10-26-06-00, 0.001540
2016-10-26-07-00, 0.001543
2016-10-26-08-00, 0.001540
2016-10-26-09-00, 0.001540
2016-10-26-10-00, 0.001535
2016-10-26-11-00, 0.001535
2016-10-26-12-00, 0.001533
2016-10-26-13-00, 0.001532
2016-10-26-14-00, 0.001531
2016-10-26-15-00, 0.001531
2016-10-26-16-00, 0.001531
2016-10-26-17-00, 0.001535
2016-10-26-18-00, 0.001530
2016-10-26-19-00, 0.001521
2016-10-26-20-00, 0.001523
2016-10-26-21-00, 0.001520
2016-10-26-22-00, 0.001515
2016-10-26-23-00, 0.001521
2016-10-27-00-00, 0.001521
2016-10-27-01-00, 0.001520
2016-10-27-02-00, 0.001520
2016-10-27-03-00, 0.001516
2016-10-27-04-00, 0.001496
2016-10-27-05-00, 0.001501
2016-10-27-06-00, 0.001500
2016-10-27-07-00, 0.001493
2016-10-27-08-00, 0.001500
2016-10-27-09-00, 0.001484
2016-10-27-10-00, 0.001480
2016-10-27-11-00, 0.001470
2016-10-27-12-00, 0.001465
2016-10-27-13-00, 0.001487
2016-10-27-14-00, 0.001488
2016-10-27-15-00, 0.001490
2016-10-27-16-00, 0.001485
2016-10-27-17-00, 0.001480
2016-10-27-18-00, 0.001480
2016-10-27-19-00, 0.001477
2016-10-27-20-00, 0.001470
2016-10-27-21-00, 0.001445
2016-10-27-22-00, 0.001451
2016-10-27-23-00, 0.001445
2016-10-28-00-00, 0.001447
2016-10-28-01-00, 0.001446
2016-10-28-02-00, 0.001446
2016-10-28-03-00, 0.001445
2016-10-28-04-00, 0.001463
2016-10-28-05-00, 0.001443
2016-10-28-06-00, 0.001440
2016-10-28-07-00, 0.001450
2016-10-28-08-00, 0.001439
2016-10-28-09-00, 0.001429
2016-10-28-10-00, 0.001420
2016-10-28-11-00, 0.001423
2016-10-28-12-00, 0.001415
2016-10-28-13-00, 0.001410
2016-10-28-14-00, 0.001400
2016-10-28-15-00, 0.001397
2016-10-28-16-00, 0.001396
2016-10-28-17-00, 0.001395
2016-10-28-18-00, 0.001391
2016-10-28-19-00, 0.001380
2016-10-28-20-00, 0.001375
2016-10-28-21-00, 0.001370
2016-10-28-22-00, 0.001380
2016-10-28-23-00, 0.001375
2016-10-29-00-00, 0.001361
2016-10-29-01-00, 0.001381
2016-10-29-02-00, 0.001375
2016-10-29-03-00, 0.001374
2016-10-29-04-00, 0.001377
2016-10-29-05-00, 0.001370
2016-10-29-06-00, 0.001370
2016-10-29-07-00, 0.001365
2016-10-29-08-00, 0.001365
2016-10-29-09-00, 0.001367
2016-10-29-10-00, 0.001355
