BTC, GBP
2014-01-21-21-00, 499.723269
2014-01-21-22-00, 500.479387
2014-01-21-23-00, 501.313493
2014-01-22-00-00, 498.335003
2014-01-22-01-00, 495.726365
2014-01-22-02-00, 495.696007
2014-01-22-03-00, 504.339125
2014-01-22-04-00, 495.813560
2014-01-22-05-00, 496.249376
2014-01-22-06-00, 498.181717
2014-01-22-07-00, 496.563876
2014-01-22-08-00, 496.026950
2014-01-22-09-00, 495.273307
2014-01-22-10-00, 494.422392
2014-01-22-11-00, 492.655379
2014-01-22-12-00, 490.400456
2014-01-22-13-00, 491.358691
2014-01-22-14-00, 493.168870
2014-01-22-15-00, 493.054318
2014-01-22-16-00, 492.638949
2014-01-22-17-00, 493.306044
2014-01-22-18-00, 493.123321
2014-01-22-19-00, 495.134437
2014-01-22-20-00, 494.739916
2014-01-22-21-00, 495.352190
2014-01-22-22-00, 495.039656
2014-01-22-23-00, 495.419100
2014-01-23-00-00, 494.158062
2014-01-23-01-00, 495.295354
2014-01-23-02-00, 494.624138
2014-01-23-03-00, 492.809639
2014-01-23-04-00, 493.196286
2014-01-23-05-00, 494.132262
2014-01-23-06-00, 495.780646
2014-01-23-07-00, 495.249354
2014-01-23-08-00, 493.592239
2014-01-23-09-00, 494.175891
2014-01-23-10-00, 494.037163
2014-01-23-11-00, 493.934653
2014-01-23-12-00, 492.232872
2014-01-23-13-00, 490.741987
2014-01-23-14-00, 489.884384
2014-01-23-15-00, 489.672733
2014-01-23-16-00, 489.618575
2014-01-23-17-00, 491.100402
2014-01-23-18-00, 492.268747
2014-01-23-19-00, 491.111913
2014-01-23-20-00, 492.581892
2014-01-23-21-00, 492.464726
2014-01-23-22-00, 492.011288
2014-01-23-23-00, 490.640042
2014-01-24-00-00, 487.492398
2014-01-24-01-00, 484.710840
2014-01-24-02-00, 482.151523
2014-01-24-03-00, 480.992158
2014-01-24-04-00, 478.039620
2014-01-24-05-00, 476.661507
2014-01-24-06-00, 474.936906
2014-01-24-07-00, 475.086265
2014-01-24-08-00, 478.309895
2014-01-24-09-00, 481.236738
2014-01-24-10-00, 479.453332
2014-01-24-11-00, 477.791286
2014-01-24-12-00, 477.527842
2014-01-24-13-00, 480.820382
2014-01-24-14-00, 481.333012
2014-01-24-15-00, 480.299159
2014-01-24-16-00, 478.260952
2014-01-24-17-00, 480.116149
2014-01-24-18-00, 481.043085
2014-01-24-19-00, 480.744760
2014-01-24-20-00, 478.475588
2014-01-24-21-00, 477.398927
2014-01-24-22-00, 476.731186
2014-01-24-23-00, 475.333798
2014-01-25-00-00, 478.124111
2014-01-25-01-00, 479.104147
2014-01-25-02-00, 479.426015
2014-01-25-03-00, 481.381455
2014-01-25-04-00, 484.250586
2014-01-25-05-00, 481.309793
2014-01-25-06-00, 482.577446
2014-01-25-07-00, 482.337758
2014-01-25-08-00, 483.352038
2014-01-25-09-00, 484.970987
2014-01-25-10-00, 482.687101
2014-01-25-11-00, 483.106758
2014-01-25-12-00, 482.999558
2014-01-25-13-00, 483.897683
2014-01-25-14-00, 482.468418
2014-01-25-15-00, 483.887046
2014-01-25-16-00, 486.542846
2014-01-25-17-00, 487.907726
2014-01-25-18-00, 489.555171
2014-01-25-19-00, 490.158927
2014-01-25-20-00, 491.755144
2014-01-25-21-00, 491.269941
2014-01-25-22-00, 489.300901
2014-01-25-23-00, 487.607641
2014-01-26-00-00, 488.750242
2014-01-26-01-00, 490.619703
2014-01-26-02-00, 493.678059
2014-01-26-03-00, 493.647682
2014-01-26-04-00, 491.915586
2014-01-26-05-00, 489.321605
2014-01-26-06-00, 487.226964
2014-01-26-07-00, 489.357615
2014-01-26-08-00, 490.256197
2014-01-26-09-00, 491.740890
2014-01-26-10-00, 491.090645
2014-01-26-11-00, 490.657154
2014-01-26-12-00, 492.133657
2014-01-26-13-00, 497.946716
2014-01-26-14-00, 497.433072
2014-01-26-15-00, 499.132372
2014-01-26-16-00, 499.782085
2014-01-26-17-00, 499.226544
2014-01-26-18-00, 498.782079
2014-01-26-19-00, 497.229034
2014-01-26-20-00, 496.057266
2014-01-26-21-00, 495.995250
2014-01-26-22-00, 495.877068
2014-01-26-23-00, 494.049821
2014-01-27-00-00, 483.412850
2014-01-27-01-00, 484.097747
2014-01-27-02-00, 484.997293
2014-01-27-03-00, 485.395681
2014-01-27-04-00, 484.881661
2014-01-27-05-00, 484.429138
2014-01-27-06-00, 484.235211
2014-01-27-07-00, 483.932590
2014-01-27-08-00, 484.376953
2014-01-27-09-00, 482.934986
2014-01-27-10-00, 482.582353
2014-01-27-11-00, 480.397720
2014-01-27-12-00, 481.157700
2014-01-27-13-00, 480.004939
2014-01-27-14-00, 480.113139
2014-01-27-15-00, 477.770685
2014-01-27-16-00, 470.716356
2014-01-27-17-00, 467.722781
2014-01-27-18-00, 470.851637
2014-01-27-19-00, 469.723929
2014-01-27-20-00, 466.661620
2014-01-27-21-00, 462.182518
2014-01-27-22-00, 456.326624
2014-01-27-23-00, 453.643734
2014-01-28-00-00, 461.065047
2014-01-28-01-00, 464.818223
2014-01-28-02-00, 465.930482
2014-01-28-03-00, 463.213048
2014-01-28-04-00, 461.326104
2014-01-28-05-00, 459.184503
2014-01-28-06-00, 459.500685
2014-01-28-07-00, 461.999337
2014-01-28-08-00, 461.875590
2014-01-28-09-00, 463.309377
2014-01-28-10-00, 467.627380
2014-01-28-11-00, 471.542404
2014-01-28-12-00, 475.541106
2014-01-28-13-00, 476.070088
2014-01-28-14-00, 476.023007
2014-01-28-15-00, 478.212331
2014-01-28-16-00, 480.771042
2014-01-28-17-00, 480.083117
2014-01-28-18-00, 476.830436
2014-01-28-19-00, 474.877890
2014-01-28-20-00, 474.061924
2014-01-28-21-00, 475.770952
2014-01-28-22-00, 475.704625
2014-01-28-23-00, 472.326598
2014-01-29-00-00, 476.141800
2014-01-29-01-00, 477.055799
2014-01-29-02-00, 477.220740
2014-01-29-03-00, 478.910730
2014-01-29-04-00, 478.560219
2014-01-29-05-00, 478.152928
2014-01-29-06-00, 477.597916
2014-01-29-07-00, 479.220517
2014-01-29-08-00, 478.567892
2014-01-29-09-00, 479.087017
2014-01-29-10-00, 479.874815
2014-01-29-11-00, 480.944864
2014-01-29-12-00, 480.609502
2014-01-29-13-00, 480.522657
2014-01-29-14-00, 479.477982
2014-01-29-15-00, 481.484572
2014-01-29-16-00, 481.903683
2014-01-29-17-00, 482.785413
2014-01-29-18-00, 480.744158
2014-01-29-19-00, 479.836346
2014-01-29-20-00, 478.671418
2014-01-29-21-00, 487.994295
2014-01-29-22-00, 479.988623
2014-01-29-23-00, 478.158013
2014-01-30-00-00, 482.369192
2014-01-30-01-00, 478.691532
2014-01-30-02-00, 477.785074
2014-01-30-03-00, 478.303568
2014-01-30-04-00, 479.151732
2014-01-30-05-00, 477.951176
2014-01-30-06-00, 478.264108
2014-01-30-07-00, 473.866369
2014-01-30-08-00, 473.798676
2014-01-30-09-00, 472.859967
2014-01-30-10-00, 474.753354
2014-01-30-11-00, 474.262399
2014-01-30-12-00, 473.719172
2014-01-30-13-00, 475.845458
2014-01-30-14-00, 476.476267
2014-01-30-15-00, 479.887833
2014-01-30-16-00, 482.658577
2014-01-30-17-00, 483.156030
2014-01-30-18-00, 483.008823
2014-01-30-19-00, 483.633025
2014-01-30-20-00, 483.027316
2014-01-30-21-00, 481.527133
2014-01-30-22-00, 484.538667
2014-01-30-23-00, 483.373758
2014-01-31-00-00, 488.979215
2014-01-31-01-00, 488.386084
2014-01-31-02-00, 487.288698
2014-01-31-03-00, 487.971911
2014-01-31-04-00, 489.230441
2014-01-31-05-00, 485.784566
2014-01-31-06-00, 488.334616
2014-01-31-07-00, 490.152485
2014-01-31-08-00, 490.297588
2014-01-31-09-00, 491.842209
2014-01-31-10-00, 489.040599
2014-01-31-11-00, 487.704862
2014-01-31-12-00, 489.392116
2014-01-31-13-00, 488.551745
2014-01-31-14-00, 487.551883
2014-01-31-15-00, 489.758297
2014-01-31-16-00, 491.352765
2014-01-31-17-00, 489.215904
2014-01-31-18-00, 488.874018
2014-01-31-19-00, 488.531329
2014-01-31-20-00, 488.244789
2014-01-31-21-00, 489.656904
2014-01-31-22-00, 490.385433
2014-01-31-23-00, 489.728585
2014-02-01-00-00, 490.467348
2014-02-01-01-00, 489.957584
2014-02-01-02-00, 488.974638
2014-02-01-03-00, 488.717783
2014-02-01-04-00, 489.892513
2014-02-01-05-00, 489.665852
2014-02-01-06-00, 490.198204
2014-02-01-07-00, 493.905242
2014-02-01-08-00, 490.939861
2014-02-01-09-00, 492.608700
2014-02-01-10-00, 492.052353
2014-02-01-11-00, 492.678207
2014-02-01-12-00, 494.410295
2014-02-01-13-00, 496.065159
2014-02-01-14-00, 498.072795
2014-02-01-15-00, 496.786921
2014-02-01-16-00, 496.437562
2014-02-01-17-00, 495.935414
2014-02-01-18-00, 494.146809
2014-02-01-19-00, 495.329807
2014-02-01-20-00, 496.279649
2014-02-01-21-00, 495.914978
2014-02-01-22-00, 494.222718
2014-02-01-23-00, 494.211243
2014-02-02-00-00, 497.154547
2014-02-02-01-00, 497.839092
2014-02-02-02-00, 498.164932
2014-02-02-03-00, 496.730428
2014-02-02-04-00, 498.971603
