ETC, GBP
2016-08-05-18-00, 1.924353
2016-08-05-19-00, 1.926324
2016-08-05-20-00, 1.928670
2016-08-05-21-00, 1.931047
2016-08-05-22-00, 1.931416
2016-08-05-23-00, 1.927387
2016-08-06-00-00, 1.993948
2016-08-06-01-00, 2.007169
2016-08-06-02-00, 1.995739
2016-08-06-03-00, 1.993258
2016-08-06-04-00, 1.992335
2016-08-06-05-00, 1.980387
2016-08-06-06-00, 2.022349
2016-08-06-07-00, 2.017695
2016-08-06-08-00, 2.019354
2016-08-06-09-00, 2.019913
2016-08-06-10-00, 2.021166
2016-08-06-11-00, 2.021018
2016-08-06-12-00, 2.174219
2016-08-06-13-00, 2.173600
2016-08-06-14-00, 2.174534
2016-08-06-15-00, 2.178419
2016-08-06-16-00, 2.202725
2016-08-06-17-00, 2.224795
2016-08-06-18-00, 1.992357
2016-08-06-19-00, 1.984029
2016-08-06-20-00, 1.982152
2016-08-06-21-00, 1.994297
2016-08-06-22-00, 1.998335
2016-08-06-23-00, 2.000478
2016-08-07-00-00, 1.849719
2016-08-07-01-00, 1.849120
2016-08-07-02-00, 1.841297
2016-08-07-03-00, 1.846234
2016-08-07-04-00, 1.869718
2016-08-07-05-00, 1.848066
2016-08-07-06-00, 1.883720
2016-08-07-07-00, 1.884342
2016-08-07-08-00, 1.884054
2016-08-07-09-00, 1.885232
2016-08-07-10-00, 1.884706
2016-08-07-11-00, 1.894133
2016-08-07-12-00, 1.728165
2016-08-07-13-00, 1.729189
2016-08-07-14-00, 1.730709
2016-08-07-15-00, 1.736321
2016-08-07-16-00, 1.724334
2016-08-07-17-00, 1.714406
2016-08-07-18-00, 1.717151
2016-08-07-19-00, 1.717171
2016-08-07-20-00, 1.715636
2016-08-07-21-00, 1.722412
2016-08-07-22-00, 1.729050
2016-08-07-23-00, 1.730571
2016-08-08-00-00, 1.648299
2016-08-08-01-00, 1.646286
2016-08-08-02-00, 1.647191
2016-08-08-03-00, 1.647492
2016-08-08-04-00, 1.641400
2016-08-08-05-00, 1.646695
2016-08-08-06-00, 1.757675
2016-08-08-07-00, 1.756557
2016-08-08-08-00, 1.760712
2016-08-08-09-00, 1.763508
2016-08-08-10-00, 1.765091
2016-08-08-11-00, 1.765179
2016-08-08-12-00, 1.700237
2016-08-08-13-00, 1.700634
2016-08-08-14-00, 1.701295
2016-08-08-15-00, 1.699974
2016-08-08-16-00, 1.703317
2016-08-08-17-00, 1.699502
2016-08-08-18-00, 1.684614
2016-08-08-19-00, 1.685473
2016-08-08-20-00, 1.684948
2016-08-08-21-00, 1.684831
2016-08-08-22-00, 1.683382
2016-08-08-23-00, 1.684691
2016-08-09-00-00, 1.583465
2016-08-09-01-00, 1.581711
2016-08-09-02-00, 1.575257
2016-08-09-03-00, 1.575846
2016-08-09-04-00, 1.572763
2016-08-09-05-00, 1.575375
2016-08-09-06-00, 1.650874
2016-08-09-07-00, 1.655617
2016-08-09-08-00, 1.646651
2016-08-09-09-00, 1.646293
2016-08-09-10-00, 1.647348
2016-08-09-11-00, 1.650368
2016-08-09-12-00, 1.480816
2016-08-09-13-00, 1.480326
2016-08-09-14-00, 1.483996
2016-08-09-15-00, 1.483618
2016-08-09-16-00, 1.484090
2016-08-09-17-00, 1.473736
2016-08-09-18-00, 1.436474
2016-08-09-19-00, 1.437589
2016-08-09-20-00, 1.436135
2016-08-09-21-00, 1.437645
2016-08-09-22-00, 1.437916
2016-08-09-23-00, 1.439968
2016-08-10-00-00, 1.385238
2016-08-10-01-00, 1.385987
2016-08-10-02-00, 1.392211
2016-08-10-03-00, 1.390222
2016-08-10-04-00, 1.387631
2016-08-10-05-00, 1.389281
2016-08-10-06-00, 1.531432
2016-08-10-07-00, 1.535674
2016-08-10-08-00, 1.532667
2016-08-10-09-00, 1.534380
2016-08-10-10-00, 1.535292
2016-08-10-11-00, 1.537360
2016-08-10-12-00, 1.424535
2016-08-10-13-00, 1.428839
2016-08-10-14-00, 1.440565
2016-08-10-15-00, 1.445862
2016-08-10-16-00, 1.459351
2016-08-10-17-00, 1.464758
2016-08-10-18-00, 1.373684
2016-08-10-19-00, 1.361845
2016-08-10-20-00, 1.354066
2016-08-10-21-00, 1.353932
2016-08-10-22-00, 1.350486
2016-08-10-23-00, 1.346204
2016-08-11-00-00, 1.378910
2016-08-11-01-00, 1.383375
2016-08-11-02-00, 1.381489
2016-08-11-03-00, 1.378959
2016-08-11-04-00, 1.375693
2016-08-11-05-00, 1.377205
2016-08-11-06-00, 1.251951
2016-08-11-07-00, 1.251943
2016-08-11-08-00, 1.249867
2016-08-11-09-00, 1.248081
2016-08-11-10-00, 1.254343
2016-08-11-11-00, 1.256772
2016-08-11-12-00, 1.496843
2016-08-11-13-00, 1.496978
2016-08-11-14-00, 1.497415
2016-08-11-15-00, 1.494559
2016-08-11-16-00, 1.482648
2016-08-11-17-00, 1.486148
2016-08-11-18-00, 1.482339
2016-08-11-19-00, 1.481858
2016-08-11-20-00, 1.483416
2016-08-11-21-00, 1.483742
2016-08-11-22-00, 1.483298
2016-08-11-23-00, 1.478960
2016-08-12-00-00, 1.421875
2016-08-12-01-00, 1.422910
2016-08-12-02-00, 1.419345
2016-08-12-03-00, 1.416302
2016-08-12-04-00, 1.413342
2016-08-12-05-00, 1.416978
2016-08-12-06-00, 1.556174
2016-08-12-07-00, 1.553665
2016-08-12-08-00, 1.557561
2016-08-12-09-00, 1.555942
2016-08-12-10-00, 1.556705
2016-08-12-11-00, 1.555456
2016-08-12-12-00, 1.529260
2016-08-12-13-00, 1.529806
2016-08-12-14-00, 1.523734
2016-08-12-15-00, 1.524899
2016-08-12-16-00, 1.523884
2016-08-12-17-00, 1.523937
2016-08-12-18-00, 1.407311
2016-08-12-19-00, 1.406867
2016-08-12-20-00, 1.406841
2016-08-12-21-00, 1.405949
2016-08-12-22-00, 1.406742
2016-08-12-23-00, 1.407346
2016-08-13-00-00, 1.439475
2016-08-13-01-00, 1.441308
